Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,234315.4605
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.001443,7567.253642,9274.514156,10767.39622,11638.73371,12850.21571,13657.67064,14970.15234,16675.27849,17140.43337,17375.22531,18713.42539,19742.31674,19833.82675,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30220.59452,31650.76054,24487.86356,29342.10086,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,162.9130345,162.551683,172.00246,199.1892382,179.3877989,198.2303679,209.4146653,211.7070603,224.2397833,249.5891331,260.1210841,278.761746,293.0858157,370.4270504,444.7328661,459.9117509,444.0905654,489.8633813,530.3907202,600.3912121,738.8987409,732.9434186,681.673765,692.0086402,615.4319578,508.7120317,552.5549671,654.337932,697.2411233,722.4517041,817.175973,858.3265971,728.7901947,704.7664831,697.2063803,762.8690829,739.4931754,757.8776349,696.3975587,669.7138659,707.0157522,628.2252416,626.5808526,812.9736448,985.563259,1120.484333,1226.223569,1369.855328,1428.382728,1411.62246,1643.605569,1792.907505,1759.182395,1730.394686,1719.183721,1538.552268,1443.692371,1628.586788,1564.73434,1512.270553,1363.540741,1549.77273,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,62.36937451,62.44370346,60.95036382,82.02173758,85.51107341,105.2431957,143.1032332,167.1656746,134.0127683,134.2503596,162.6421754,166.2248313,141.3653223,149.7440685,181.598776,194.6690362,205.6740967,232.7786988,255.0456222,284.7555317,291.649791,311.853617,,,,,,,,,,,,,,,,,,,,,183.5327752,200.4625667,221.6576042,255.05512,274.0004865,375.0781281,387.8491743,443.8451505,554.5952002,621.9123109,663.1410528,651.9878619,628.1468039,592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,106.9764749,112.0475613,117.7306332,122.278715,130.5999626,137.1861423,142.895375,127.3036057,128.3654944,142.3259039,193.5733562,167.5525245,198.3680242,239.5302911,330.0724177,374.0112725,439.827935,450.067013,477.1885301,577.5354799,709.8423973,1299.896411,1120.58396,805.0236628,649.0187615,644.3369904,578.8143502,578.3277306,555.9198811,505.3263387,589.158849,553.5912803,542.6635271,441.6055891,375.6675851,458.8342197,519.2522209,510.8855337,509.2584021,524.0951103,520.7865838,529.5849389,619.7732823,697.9052908,841.357961,1000.869581,1241.8519,1417.60505,1681.47768,1463.393293,1675.739572,1856.687669,1953.407033,2149.295219,2243.271464,1876.623483,1645.023767,1585.91193,1731.311792,1749.303317,1683.436391,1757.030626,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.9411692,643.0528514,620.3631095,623.5339325,637.5197594,757.5817453,684.4435226,755.9219118,792.8610862,891.7435922,949.2863813,867.1234347,657.6533837,442.445234,329.6917841,398.1202225,523.2749398,514.3098866,423.3934528,387.6894148,556.8842437,527.4632018,872.6577717,982.8056006,1254.695563,1900.724725,2597.962682,3121.350475,4081.715004,3123.697586,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3958.671001,4193.313027,4967.073929,6182.925544,7174.506645,7964.08272,7758.620353,8207.701488,9455.667022,12054.89819,12535.9048,10516.09299,9738.74181,8108.968959,7825.103466,7914.765568,10569.02958,12833.34522,14529.05988,15404.04215,19209.77584,19968.40536,21123.43369,17023.22258,16671.02125,18731.5502,19080.32108,18252.33098,18591.91234,18884.72021,21620.48502,22809.29187,24783.8365,31955.38802,37629.12896,39584.91575,43086.49983,50565.45648,53719.42127,49753.6906,48238.4661,51429.19192,44904.58004,44750.43568,45682.24623,38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,302.5995803,320.5307655,352.3137119,395.6308701,458.1692835,564.7546713,1039.624713,1113.948038,1338.812986,1493.662392,1589.302936,2090.089949,2741.740907,2738.138793,2486.900951,2270.022967,2239.659468,2140.773841,2015.606344,2119.377769,1990.584538,2081.180305,2850.818507,2042.670201,2002.60465,1986.74107,2034.352511,2173.771277,2344.660309,2469.868096,2348.94244,2539.944886,2842.619272,2720.517427,2676.909578,2896.054824,3371.900995,4048.845578,4679.878185,5303.838216,6501.826712,5562.24771,6385.356001,6826.51552,7327.268826,7307.373017,7276.428999,6245.787785,6062.681557,6132.428354,6474.29534,6384.066321,5545.455246,6271.319001,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27090.23748,31282.54997,35186.23204,29526.72188,34372.1663,42994.75809,44841.22974,39921.63298,34586.53181,31955.18125,29432.83121,23111.37838,23088.20417,21545.45558,23141.01477,26682.84981,25668.49332,25630.08097,25019.37236,25463.49629,27010.67819,28596.50683,28709.24692,25905.84338,27261.90657,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1163.186836,855.2756565,1179.504098,1285.260799,1277.968419,1065.89852,1143.810428,1331.639709,1324.685288,1374.424233,1411.176664,2100.030587,2846.266307,2026.570709,1946.329391,2125.53222,2139.63793,2510.585576,2746.207484,2763.375182,2914.918251,3539.456782,2651.229542,2919.283585,3607.820561,3559.218959,3982.444402,2382.560951,4330.959441,5730.72381,6815.61829,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5604133,572.1617627,356.0822126,347.4664633,389.8252865,441.8940018,484.091641,501.1565152,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163552,2109.526231,3064.280106,3908.94906,2917.366129,3143.029202,3462.681611,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471,
