Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
Year,îNìx,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2015,2015,2015,2014,2014,2014,2015,2015
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,êlå˚ëçêî,êlå˚ëçêîÅiíjÅj,êlå˚ëçêîÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,ÇPÇTçŒñ¢ñûêlå˚,ÇPÇTçŒñ¢ñûêlå˚ÅiíjÅj,ÇPÇTçŒñ¢ñûêlå˚ÅièóÅj,ÇPÇTÅ`ÇUÇSçŒêlå˚,ÇPÇTÅ`ÇUÇSçŒêlå˚ÅiíjÅj,ÇPÇTÅ`ÇUÇSçŒêlå˚ÅièóÅj,ÇUÇTçŒà»è„êlå˚,ÇUÇTçŒà»è„êlå˚ÅiíjÅj,ÇUÇTçŒà»è„êlå˚ÅièóÅj,ÇVÇTçŒà»è„êlå˚,ÇVÇTçŒà»è„êlå˚ÅiíjÅj,ÇVÇTçŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êî,ì]èoé“êî,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,ÇUÇTçŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅiÇUÇTçŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäëçêî,éñã∆èäêîÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiåöê›ã∆Åj,éñã∆èäêîÅiêªë¢ã∆Åj,éñã∆èäêîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,éñã∆èäêîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆éñã∆èäêî,ëÊÇQéüéYã∆éñã∆èäêî,ëÊÇRéüéYã∆éñã∆èäêî,è]ã∆é“ëçêî,è]ã∆é“êîÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiåöê›ã∆Åj,è]ã∆é“êîÅiêªë¢ã∆Åj,è]ã∆é“êîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆è]ã∆é“êî,ëÊÇQéüéYã∆è]ã∆é“êî,ëÊÇRéüéYã∆è]ã∆é“êî,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,14021,18504,118336,109199,921837,920415,1899980,493644,375242,178246,98660,104650,10495,4096,112126,43898,76604,103,6701,2611,68,1459,1697,18585,1420,8822,4139,10168,6427,2526,6524,303,4746,294,105,9321,67178,912841,1331,61706,38170,4390,31952,47454,195399,24911,34186,30961,87304,42136,46826,128742,7785,99791,29737,1345,99922,811574,91.6,4.9,885032369,285914071,877817401,387909355,122018222,75353766,0,123,21511,205,4843,89616,108,3042,46721,53,44774,1,11,1941078,7169,11498,9124,377,179,1317,1237,6418,2118,5015,258,25037
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1532,3637,8718,9791,123950,123651,255149,66690,48247,29540,16258,20148,1172,563,67787,12334,13795,24,1224,612,17,100,275,3590,278,976,440,2216,1369,494,1035,104,932,86,44,1839,11912,124215,201,8728,9798,625,1270,6897,24804,3124,3174,2877,13084,6446,5599,20957,1362,10227,4725,493,18551,105171,87.2,7.7,140294201,32096591,137520941,59128199,12767988,14834123,0,21,2396,48,763,11022,30,517,6249,15,7502,3,1,269079,32549,2689,1872,43,28,215,131,777,185,672,45,3494
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,512,1856,3121,3970,55466,55299,116724,31709,19911,15984,8950,10585,391,197,24383,8009,6090,2,422,461,12,26,217,1786,99,208,143,939,557,202,535,38,390,45,9,884,5197,56650,8,2658,8275,267,121,3321,12988,918,802,989,5301,2381,3161,9878,548,3101,1818,119,10937,45594,93.3,10.6,58910972,13322414,56913539,24802064,6353807,4270950,0,14,1036,21,362,4548,14,263,2728,8,3457,0,1,122088,4073,1373,821,19,12,84,79,301,106,359,21,1394
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,2280,4060,10282,11029,155747,155218,326243,88393,57488,38167,23059,22400,1573,720,74766,35194,15201,76,1437,779,13,110,367,3795,331,1233,496,2100,1439,465,1458,97,922,80,76,2219,12906,154350,799,11639,10800,722,1157,8183,33338,3671,3566,3448,12815,6542,8340,27297,1879,13044,7088,799,22461,131090,92.3,7.1,158551128,39358806,157272163,71562459,18929525,12385413,133,29,2757,55,1213,15875,28,658,8602,14,9199,28,5,345566,6634,2639,1840,74,36,243,179,1280,253,826,62,5405
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,503,1220,2999,3771,43616,43536,86029,23014,18486,10954,6773,7295,378,127,8088,4327,4423,1,453,230,9,36,122,1039,100,279,147,748,379,122,308,25,384,41,1,683,3739,47415,24,4524,8016,324,582,2600,7498,983,876,1621,3430,1553,2421,7110,409,3975,1469,24,12540,34851,93,9.5,46451973,13408552,45582620,17193862,5267335,4642622,2372,11,1112,15,289,3629,8,162,2101,6,2907,0,1,88889,2854,764,669,7,6,53,46,284,63,191,10,986
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,1070,2193,5748,6750,82078,81846,169155,45098,31697,19105,11305,11926,809,415,136290,30910,8871,33,723,364,17,60,293,2051,197,839,300,1449,813,281,680,47,616,79,53,1096,7722,80833,280,5596,6077,528,456,5873,15700,2324,1993,1978,8105,3376,3693,13200,546,6950,3387,622,12102,68109,92.1,11.6,98372483,20717115,96539514,36767443,9928469,12311107,70581,28,2327,27,610,8102,17,375,4423,8,4392,1,2,176719,10782,1442,1231,28,15,82,95,374,115,351,26,1757
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1301,1779,7396,7390,77707,77525,163589,42823,29720,16117,9615,8907,930,363,61934,38281,9083,71,922,354,11,75,193,2252,208,442,358,1531,868,320,722,47,652,51,72,1281,7730,87443,958,7264,5753,342,639,4383,19517,2446,1758,2652,8834,3877,3558,13632,421,6692,4689,963,13040,73440,89.7,8.9,83421715,21717404,82578856,30198183,7518423,6580721,0,13,2129,26,590,8038,14,340,4160,8,5251,0,1,168532,5324,1548,1367,35,17,99,100,452,149,368,32,2923
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,765,1435,4044,4521,56202,56043,117577,31420,21103,13045,8072,7328,522,258,142741,42518,5944,135,532,256,15,49,163,1515,117,371,189,842,511,181,496,47,437,63,153,795,4996,54546,919,4930,3770,305,831,3088,12325,1265,1209,1023,4832,2192,2705,8054,807,4088,1854,1165,8803,44578,90.2,11.2,72965464,14051186,72483045,21105747,10565585,11162137,147515,9,979,25,468,5483,15,280,3045,8,3189,8,9,121264,5276,1076,690,25,12,67,53,223,75,214,15,1272
