code,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
year,îNìx,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2016,2016,2016,2017,2017,2017,2016,2016,2016,2017,2017
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅi65çŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêî,éñã∆èäêîÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiåöê›ã∆Åj,éñã∆èäêîÅiêªë¢ã∆Åj,éñã∆èäêîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,éñã∆èäêîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆éñã∆èäêî,ëÊÇQéüéYã∆éñã∆èäêî,ëÊÇRéüéYã∆éñã∆èäêî,è]ã∆é“êî,è]ã∆é“êîÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiåöê›ã∆Åj,è]ã∆é“êîÅiêªë¢ã∆Åj,è]ã∆é“êîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆è]ã∆é“êî,ëÊÇQéüéYã∆è]ã∆é“êî,ëÊÇRéüéYã∆è]ã∆é“êî,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,13248,19343,117434,109504,921837,920415,1899980,493644,375242,178246,98660,104650,9878,4024,112126,43898,76604,103,6701,2611,68,1459,1697,18585,1420,8822,4139,10168,6427,2526,6524,303,4746,294,105,9321,67178,912841,1331,61706,38170,4390,31952,47454,195399,24911,34186,30961,87304,42136,46826,128742,7785,99791,29737,1345,99922,811574,461,346,93.6,2.8,980747975,292399779,966533376,404761083,128952110,162101641,0,113,19598,205,4967,90450,107,2975,44899,52,44345,844313,460571,383742,48619,29114,19505,651052,215570,435482,3790,118503,645868,1,11,1951640,6549,11197,8502,355,178,1351,1229,6614,2113,5398,287,26613
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1418,3761,8249,9590,123950,123651,255149,66690,48247,29540,16258,20148,1065,507,67787,12334,13795,24,1224,612,17,100,275,3590,278,976,440,2216,1369,494,1035,104,932,86,44,1839,11912,124215,201,8728,9798,625,1270,6897,24804,3124,3174,2877,13084,6446,5599,20957,1362,10227,4725,493,18551,105171,212,157,91.3,7.9,141331406,32208730,140296035,60809188,13540612,14812227,0,19,1898,48,782,10657,25,469,5917,15,6969,117125,62636,54489,6551,4054,2497,103553,34217,69336,4137,19490,86480,3,1,263101,28650,2533,1749,41,28,210,129,801,183,680,49,3524
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,480,1901,2894,3936,55466,55299,116724,31709,19911,15984,8950,10585,322,181,24383,8009,6090,2,422,461,12,26,217,1786,99,208,143,939,557,202,535,38,390,45,9,884,5197,56650,8,2658,8275,267,121,3321,12988,918,802,989,5301,2381,3161,9878,548,3101,1818,119,10937,45594,95,66,99.5,7.9,57326414,13397731,57105770,25226933,6896707,4108367,0,14,921,18,340,4351,13,234,2405,8,3299,51317,27330,23987,3080,1984,1096,53928,18733,35195,710,8909,39508,0,1,117924,3500,1289,778,17,12,83,78,322,102,326,22,1370
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,2120,4377,9960,10630,155747,155218,326243,88393,57488,38167,23059,22400,1412,666,74766,35194,15201,76,1437,779,13,110,367,3795,331,1233,496,2100,1439,465,1458,97,922,80,76,2219,12906,154350,799,11639,10800,722,1157,8183,33338,3671,3566,3448,12815,6542,8340,27297,1879,13044,7088,799,22461,131090,1133,298,95.4,7.8,159077308,40022339,157702125,74255894,19847021,12292433,175606,29,2677,55,1208,15319,28,649,8268,13,8992,152385,82441,69944,7697,4593,3104,128509,43521,84988,4069,26028,116152,28,5,340523,6570,2612,1743,65,36,240,175,1339,254,867,67,5715
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,476,1271,2970,3590,43616,43536,86029,23014,18486,10954,6773,7295,377,113,8088,4327,4423,1,453,230,9,36,122,1039,100,279,147,748,379,122,308,25,384,41,1,683,3739,47415,24,4524,8016,324,582,2600,7498,983,876,1621,3430,1553,2421,7110,409,3975,1469,24,12540,34851,16,7,93.8,9.6,46132340,13267323,45343862,17490787,6855621,5976255,18855,10,1015,13,268,3437,8,157,1915,6,2891,37286,22145,15141,1957,1273,684,37414,13467,23947,351,9384,26169,0,1,86073,2530,748,621,11,6,55,44,272,63,196,10,1039
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,1018,2313,5706,6583,82078,81846,169155,45098,31697,19105,11305,11926,733,372,136290,30910,8871,33,723,364,17,60,293,2051,197,839,300,1449,813,281,680,47,616,79,53,1096,7722,80833,280,5596,6077,528,456,5873,15700,2324,1993,1978,8105,3376,3693,13200,546,6950,3387,622,12102,68109,185,18,96.6,10.9,94965331,20939951,94772700,38341655,11474968,9341933,28337,26,2094,27,614,7729,17,357,4120,8,4418,74840,41632,33208,3548,2152,1396,66161,23208,42953,1679,13682,54775,1,2,172784,11503,1391,1151,29,15,81,91,357,107,347,26,1701
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1158,1826,7164,7336,77707,77525,163589,42823,29720,16117,9615,8907,877,329,61934,38281,9083,71,922,354,11,75,193,2252,208,442,358,1531,868,320,722,47,652,51,72,1281,7730,87443,958,7264,5753,342,639,4383,19517,2446,1758,2652,8834,3877,3558,13632,421,6692,4689,963,13040,73440,653,32,92.3,8.7,85421544,22223735,85000314,32305719,9203426,6739468,1199218,13,1974,26,605,8100,14,338,3982,8,5085,79840,44102,35738,3137,1793,1344,55718,19135,36583,3923,14264,56126,0,1,167657,4574,1567,1378,32,18,103,97,493,138,395,31,2774
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,755,1439,3850,4244,56202,56043,117577,31420,21103,13045,8072,7328,498,243,142741,42518,5944,135,532,256,15,49,163,1515,117,371,189,842,511,181,496,47,437,63,153,795,4996,54546,919,4930,3770,305,831,3088,12325,1265,1209,1023,4832,2192,2705,8054,807,4088,1854,1165,8803,44578,869,124,91.1,8.8,74186103,14507449,73796053,22781969,12393145,7808853,1088281,8,837,24,467,5371,14,266,2764,8,3100,55971,31001,24970,2303,1426,877,41549,14556,26993,3903,9632,38336,8,9,118776,4645,1039,663,28,12,65,54,226,79,212,25,1446
