SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
,,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2019,2019,2019,2019,2015,2015,2015,2015,2015,2015,2015,2015,2019,2019,2019,2019,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2014,2014,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2016,2016,2016,2018,2018,2018,2018,2018,2018,2017,2017
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅi65çŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêîÅiñØâcÅj,éñã∆èäêîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiãôã∆Åj,éñã∆èäêîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,éñã∆èäêîÅiñØâcÅjÅiåöê›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiêªë¢ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅiñØâcÅjÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiñØâcÅj,è]ã∆é“êîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiãôã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiåöê›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiêªë¢ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,ã`ñ±ã≥àÁäwçZêî,ã`ñ±ã≥àÁäwçZã≥àıêî,ã`ñ±ã≥àÁäwçZëOä˙â€íˆéôì∂êî,ã`ñ±ã≥àÁäwçZå„ä˙â€íˆê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,12741,19778,117964,108578,921837,920415,1899980,493644,375242,178246,98660,104650,10117,3845,112126,43898,72451,93,2,8,6400,2349,46,1396,1639,18137,1369,7276,3985,9859,6261,2140,6680,294,4516,838911,875,16,68,59550,36190,3019,29973,42158,192192,26134,32255,29672,83819,38382,32499,127350,7616,97140,461,346,95.6,2.2,986962117,325864999,978964290,415137899,130222340,155280172,1381224,110,18529,203,4987,90307,107,2982,44540,0,0,0,0,52,44270,844313,460571,383742,48619,29114,19505,651052,215570,435482,3790,118503,645868,1,12,1954662,6363,11197,8502,355,178,1354,1215,6763,2094,5485,287,26613
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1305,4027,8166,9214,123950,123651,255149,66690,48247,29540,16258,20148,1098,495,67787,12334,12918,20,20,3,1134,579,11,95,265,3400,263,914,432,2094,1340,363,1000,97,888,112081,150,251,23,8268,9559,395,1246,6504,24511,3061,2838,2396,13421,5950,3180,19255,1412,9661,212,157,93.3,8.1,133112794,32006420,132508493,59258600,12704947,12779065,55641,14,1393,45,761,10347,25,462,5758,0,0,0,0,15,6793,117125,62636,54489,6551,4054,2497,103553,34217,69336,4137,19490,86480,2,1,259500,27341,2533,1749,41,28,211,130,787,187,700,49,3524
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,445,1819,2840,3638,55466,55299,116724,31709,19911,15984,8950,10585,386,180,24383,8009,5677,3,7,0,400,425,7,23,222,1679,81,190,133,896,529,149,520,38,375,50240,38,107,0,2487,8433,208,105,3401,10726,866,717,713,4895,3711,1399,8876,545,3013,95,66,97.7,7.9,55744582,13526934,55512473,25098619,6909341,2850697,0,14,864,18,351,4209,13,210,2307,0,0,0,0,8,3232,51317,27330,23987,3080,1984,1096,53928,18733,35195,710,8909,39508,0,1,115621,3149,1289,778,17,12,84,79,330,98,348,22,1370
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,1958,4507,9802,10785,155747,155218,326243,88393,57488,38167,23059,22400,1449,652,74766,35194,14493,72,0,2,1376,747,8,109,363,3728,332,1118,491,2042,1393,307,1436,78,890,139204,730,0,8,11371,10723,528,1010,8626,33143,3711,3376,2892,13217,6027,4581,25884,1684,11688,1133,298,94.9,7.8,156330397,39956307,155177264,71612061,19489565,13031492,521676,28,2572,54,1202,14989,28,652,8064,0,0,0,0,13,9062,152385,82441,69944,7697,4593,3104,128509,43521,84988,4069,26028,116152,27,5,337998,8254,2612,1743,65,36,240,170,1364,254,879,67,5715
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,459,1312,2907,3541,43616,43536,86029,23014,18486,10954,6773,7295,347,128,8101,4340,4150,1,0,0,438,210,4,34,123,1007,97,262,132,709,356,87,297,24,369,42879,28,0,0,5209,7477,182,557,2527,7361,937,820,1229,3505,1398,1390,5763,396,4100,16,7,94.4,9.6,42999577,13103832,42251706,17011923,5164996,5161348,41442,10,1002,13,270,3413,8,155,1792,0,0,0,0,6,2851,37286,22145,15141,1957,1273,684,37414,13467,23947,351,9384,26169,0,1,84727,2392,748,621,11,6,54,45,252,59,195,10,1039
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,885,2300,5519,6505,82078,81846,169155,45098,31697,19105,11305,11926,732,370,136329,30949,8268,26,20,10,712,340,13,47,283,1970,188,785,265,1353,778,204,632,46,596,70112,303,269,438,5489,5938,384,392,5773,15110,2159,1875,1461,7786,3192,1548,11289,543,6163,185,18,98,11,93238783,20692423,92573318,37903186,11827755,7797305,15222,24,1990,27,599,7453,17,360,4016,0,0,0,0,8,4361,74840,41632,33208,3548,2152,1396,66161,23208,42953,1679,13682,54775,1,2,170627,9263,1391,1151,29,15,79,92,372,113,382,26,1701
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1140,1887,7203,7378,77707,77525,163589,42823,29720,16117,9615,8907,871,391,61934,38281,8804,72,1,4,868,338,9,74,185,2245,208,436,358,1562,829,256,712,45,601,78576,729,6,27,6908,5331,277,623,4385,18833,2405,1827,2297,9244,3528,1551,13303,426,6872,653,32,90.1,8.9,81354391,22507980,80488646,31517797,9141848,6654887,76123,13,1887,26,621,8077,14,335,3928,0,0,0,0,8,5078,79840,44102,35738,3137,1793,1344,55718,19135,36583,3923,14264,56126,0,1,167033,4476,1567,1378,32,18,102,96,501,145,415,31,2774
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,699,1480,3731,4144,56202,56043,117577,31420,21103,13045,8072,7328,448,233,142741,42515,5516,128,18,3,501,240,12,44,152,1472,118,335,185,809,483,107,451,45,411,49853,986,253,29,4843,3577,245,470,2739,12258,1316,1131,929,4781,2069,1437,7596,801,4388,869,124,91.4,7.7,71977548,14488915,71720528,21682808,11110646,5816225,23572,8,770,24,474,5324,14,277,2705,0,0,0,0,8,3045,55971,31001,24970,2303,1426,877,41549,14556,26993,3903,9632,38336,8,8,117897,4346,1039,663,28,12,66,54,240,76,220,25,1446
