Prefecture,MG01,MG02,MG03,MG04,MG05,MG06,MG07,MG08,MG09,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG51,MG52,MG53
都道府県,睡眠,身の回りの用事,食事,通勤・通学,仕事,学業,家事,介護・看護,育児,買い物,移動通勤・通学を除く,テレビ・ラジオ・新聞・雑誌,休養・くつろぎ,学習・自己啓発・訓練学業以外,趣味・娯楽,スポーツ,ボランティア活動・社会参加活動,交際・付き合い,受診・療養,その他,通勤・通学,仕事,学業
北海道,480,83,94,24,199,31,86,3,13,24,18,155,127,10,48,11,2,10,7,15,64,343,391
青森県,488,83,100,23,221,34,83,3,10,25,17,149,117,6,42,9,1,8,8,12,61,370,423
岩手県,480,82,100,25,218,40,85,3,10,24,21,138,120,8,40,11,2,7,6,17,63,362,472
宮城県,484,81,99,30,213,38,84,3,12,24,18,121,123,9,53,12,2,10,7,16,73,352,395
秋田県,486,84,104,22,200,30,95,2,8,28,17,144,123,9,44,10,2,9,9,14,60,340,424
山形県,483,81,100,22,219,35,86,4,15,26,17,139,119,7,41,11,2,9,9,16,56,357,429
福島県,479,78,99,27,218,38,82,3,10,24,21,141,116,10,46,12,2,8,8,18,66,351,439
茨城県,476,82,102,31,209,39,85,3,10,27,21,132,119,10,48,14,1,8,5,18,78,342,395
栃木県,475,82,102,28,221,39,85,4,12,26,18,130,120,10,43,13,2,8,8,15,70,355,442
群馬県,475,83,100,27,209,40,88,2,14,25,22,135,117,10,44,15,3,10,5,17,67,342,411
埼玉県,471,83,102,36,200,39,91,4,16,26,23,125,112,15,50,13,2,10,8,14,94,331,384
千葉県,471,83,102,36,209,37,87,3,14,27,22,124,117,14,50,12,2,10,5,17,95,338,387
東京都,468,85,99,36,222,35,82,2,15,26,26,106,118,18,56,12,2,11,7,14,95,339,360
神奈川県,468,81,101,36,206,37,89,2,14,27,23,124,119,14,53,13,2,9,7,14,100,330,362
新潟県,478,85,101,25,209,35,87,3,13,25,24,139,118,8,47,10,2,10,6,14,60,339,415
富山県,475,79,99,27,224,36,84,3,10,23,18,141,119,11,42,11,3,10,8,15,64,355,432
石川県,479,83,97,26,224,40,79,2,13,23,20,134,116,10,49,14,2,11,5,14,60,353,398
福井県,481,83,99,26,223,41,88,3,15,24,18,124,115,12,40,11,2,11,6,17,62,351,452
山梨県,479,86,105,26,217,40,87,3,9,25,21,121,120,12,39,12,2,10,8,17,64,346,431
長野県,476,85,105,27,217,41,91,4,16,22,20,118,114,11,44,13,3,8,10,16,67,348,439
岐阜県,474,78,96,29,210,42,88,4,12,23,21,131,121,11,49,13,2,11,7,18,70,339,413
静岡県,469,86,99,27,205,39,92,2,11,26,20,141,119,9,47,13,2,10,7,15,68,333,429
愛知県,473,82,97,32,214,38,86,3,18,27,24,122,115,12,50,13,2,11,7,15,78,347,390
三重県,477,80,98,29,203,38,91,3,17,26,20,129,120,11,46,15,2,9,8,17,76,334,425
滋賀県,478,86,96,29,206,43,93,3,15,27,20,110,121,13,48,14,3,10,7,18,72,338,402
京都府,476,87,100,31,186,43,94,3,15,27,24,125,116,13,44,14,2,11,8,21,81,321,380
大阪府,471,85,102,34,199,37,84,3,15,27,21,133,113,15,52,14,2,11,8,15,87,331,337
兵庫県,470,88,101,33,199,40,89,3,13,27,22,128,118,12,46,15,2,10,7,17,84,335,361
奈良県,473,82,103,33,189,40,100,4,13,29,22,128,114,14,50,12,3,9,5,19,88,326,382
和歌山県,475,87,98,23,198,36,95,4,12,26,20,138,121,12,42,13,2,11,8,18,65,341,388
鳥取県,480,87,95,24,213,37,84,3,9,24,20,146,119,9,41,14,3,9,6,15,59,345,443
島根県,479,87,97,28,227,42,84,2,11,22,18,127,119,11,38,11,3,10,7,17,63,355,469
岡山県,470,86,96,29,208,41,91,3,13,24,22,124,121,13,47,13,3,10,6,20,71,336,432
広島県,479,80,98,29,203,41,88,4,13,24,20,136,116,12,45,13,3,9,8,18,75,345,416
山口県,477,88,95,25,193,37,92,3,13,27,22,148,115,9,46,13,2,10,7,16,66,332,432
徳島県,472,90,100,23,203,39,87,3,10,26,18,140,120,13,44,13,2,9,8,19,61,345,434
香川県,477,83,94,26,204,41,88,3,15,27,23,144,111,11,44,13,2,11,6,17,64,344,419
愛媛県,473,86,96,22,198,37,93,4,11,25,19,152,117,11,48,13,2,10,7,16,57,340,434
高知県,484,88,97,25,207,35,86,4,14,23,21,131,115,8,50,13,2,9,9,17,62,340,398
福岡県,476,84,95,28,203,44,84,3,17,25,23,131,118,11,49,13,2,10,8,15,69,342,407
佐賀県,478,86,95,28,223,47,83,3,12,23,20,128,111,9,41,14,4,11,7,16,65,357,460
長崎県,472,83,99,26,212,40,93,4,12,24,19,137,119,9,43,12,3,8,7,16,69,357,460
熊本県,476,81,98,27,205,45,88,5,12,24,22,135,120,11,40,14,2,9,9,18,68,349,436
大分県,475,87,97,26,201,43,90,3,11,24,22,139,120,8,46,15,3,10,8,13,66,352,466
宮崎県,479,87,98,23,213,43,89,2,10,24,20,132,118,9,41,15,2,10,7,17,56,356,507
鹿児島県,485,83,102,23,204,43,90,4,12,23,20,134,112,11,39,14,2,10,12,17,61,347,461
沖縄県,481,77,94,30,215,47,82,3,21,26,19,126,111,11,38,17,2,12,6,21,65,348,400
