地域コード,都道府県,総人口,日本人人口,15歳未満人口,15～64歳人口,65歳以上人口,外国人人口,出生数,合計特殊出生率,死亡数,転入者数日本人移動者,転出者数日本人移動者,一般世帯数,一般世帯人員数,単独世帯数,婚姻件数,離婚件数,総面積北方地域及び竹島を除く,可住地面積,自然公園面積,県内総生産額平成23年基準,県民所得平成23年基準,1人当たり県民所得平成23年基準,事業所数民営,事業所数民営建設業,事業所数民営製造業,事業所数民営情報通信業,事業所数民営卸売業，小売業,事業所数民営宿泊業，飲食サービス業,事業所数民営生活関連サービス業，娯楽業,事業所数民営医療，福祉,従業者数民営,従業者数民営建設業,従業者数民営製造業,従業者数民営情報通信業,従業者数民営卸売業，小売業,従業者数民営宿泊業，飲食サービス業,従業者数民営生活関連サービス業，娯楽業,従業者数民営医療，福祉,農家数販売農家,農家数自給的農家,耕地面積,旅館営業施設数ホテルを含む,旅館営業施設客室数ホテルを含む,幼稚園数,幼稚園在園者数,小学校数,小学校児童数,中学校数,中学校生徒数,高等学校数,高等学校生徒数,短期大学数,大学数,短期大学学生数,大学学生数,公民館数,図書館数,博物館数,劇場，音楽堂等数,社会体育施設数,民間体育施設数,映画館数,一般旅券発行件数,延べ宿泊者数,外国人延べ宿泊者数,総住宅数,空き家数,持ち家数,一戸建住宅数,1住宅当たり延べ面積,総人口非水洗化人口＋水洗化人口,非水洗化人口,ごみ総排出量総量,1人1日当たりの排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数,保育所等在所児数,消費支出二人以上の世帯,食料費二人以上の世帯,住居費二人以上の世帯,教養娯楽費二人以上の世帯
R01000,北海道,5183000,5147000,544000,2953000,1686000,34321,29523,1.24,65078,48832,50979,2469063,5032739,999825,20904,9070,7842135,2269920,880179,19652846,14494692,2742,224718,21361,10818,2206,56213,32259,20386,18506,2165925,182143,195081,37312,472228,211758,101190,323580,32232,5362,1143000,2877,117115,366,38009,984,231714,579,122742,272,115335,15,37,4069,79729,381,152,64,73,3935,726,21,10839,15812120,46380,2807200,379800,1359400,1255600,91.23,5228756,295483,1810945,949,23.4,40615,26585,823,479,3351,2840,13731,4418,11802,1045,79404,268396,71448,22013,23762
R02000,青森県,1221000,1216000,127000,676000,419000,5409,6837,1.38,17905,16169,20396,509649,1191534,168917,4032,1915,964562,325317,114187,4374419,3166515,2507,58116,5750,3002,366,15799,8052,6494,4899,498988,50820,60824,5240,112419,41516,24501,74147,28062,8403,149600,613,19765,86,4287,263,54460,157,29940,77,30543,5,10,950,15419,246,35,5,21,703,272,7,1519,2788990,13240,592400,88700,352800,377200,121.58,1263133,153496,457849,993,14.0,12079,6744,185,77,862,511,2773,735,2345,475,30723,245117,69503,13232,19092
R03000,岩手県,1196000,1189000,129000,659000,409000,6937,6718,1.35,17204,16149,19022,490828,1174106,163290,3918,1679,1527501,375137,72242,4739618,3525035,2841,58415,5677,3884,432,15404,7095,6016,4772,525264,50849,90657,5762,108508,42697,22981,71471,33861,18827,149300,792,21972,74,4462,298,55597,154,30269,79,29980,4,6,726,11340,176,47,21,27,908,132,6,1515,3660190,11470,579300,93500,338100,352600,119.90,1223946,276071,405527,908,17.5,11833,5668,179,77,877,566,2700,1016,2536,390,28895,272911,73738,17181,22302
R04000,宮城県,2290000,2269000,264000,1371000,655000,19453,14480,1.23,24632,44079,43962,980549,2251390,362255,8921,3553,728229,318591,171201,9512296,6819088,2945,97974,10640,5350,1036,27102,11621,8736,7573,1006886,99631,120120,19772,225169,89667,41584,119085,28632,12877,125500,724,34835,222,23722,374,112246,205,58748,95,55329,5,14,2701,49580,439,35,18,40,900,271,9,5053,5631070,35570,1089300,130500,554300,527500,97.24,2282803,212275,814327,977,15.8,18296,9560,325,109,1686,1052,5950,1896,5502,492,39497,284171,75689,19852,24985
R05000,秋田県,945000,941000,90000,495000,360000,3651,4499,1.33,15379,10541,13439,383531,923812,117169,2686,1213,1163752,323329,123801,3520558,2645958,2697,48769,5385,3481,302,13034,5841,5876,3646,413719,40329,67198,3737,86407,33576,18790,66049,27780,9336,146400,523,15151,33,2065,182,38992,111,21924,52,21448,4,7,577,8904,342,48,11,23,864,137,4,1034,2195210,4470,445700,60800,296500,306200,131.93,973181,179304,350545,987,14.9,10224,4704,144,50,805,426,2444,619,2066,272,22621,247776,72364,10342,21284
R06000,山形県,1055000,1048000,117000,576000,362000,7149,6217,1.40,15348,12023,15134,396792,1035323,112791,3530,1362,932313,287327,155510,4275855,3157969,2897,55778,6235,5154,342,14496,6793,6061,3947,475435,42190,106493,4029,93586,39847,20800,62958,26796,12832,115800,790,20024,63,5381,234,49164,94,26969,61,27233,3,6,991,11801,430,40,17,23,645,145,11,1417,2696320,8680,449000,54200,294600,305200,135.18,1069277,64094,351454,901,13.3,11286,5493,105,53,910,476,2608,678,2129,293,24954,321411,79328,20501,24341
R07000,福島県,1812000,1799000,202000,1025000,585000,12868,11215,1.47,24515,23067,28738,740089,1788951,245335,6674,2969,1378414,423073,180002,7905423,5484538,2943,85960,10250,7127,542,22064,10566,8246,6133,806130,79858,163815,6973,154720,69191,34334,99733,41060,21613,137300,1500,42859,228,17008,412,85322,222,46148,108,45647,5,8,1502,14385,374,68,17,35,1379,304,6,2864,5536090,20390,861300,123500,494900,512800,112.65,1884061,149741,710449,1033,13.2,16934,8013,227,102,1325,846,3958,1405,3792,384,31614,292743,76397,19928,21623
R08000,茨城県,2852000,2785000,328000,1664000,860000,57819,17389,1.39,32931,47382,46501,1181598,2802960,385760,10622,4403,609724,388861,90896,14035454,9573309,3327,115007,15007,10759,721,29144,13047,11395,7648,1233534,87548,280530,13823,233297,95666,57521,145001,43920,27841,162300,925,28323,224,19989,466,135782,226,72465,119,71842,3,10,717,30147,252,64,26,37,1229,912,11,8190,3636180,17640,1328900,197200,801700,814800,107.79,2902810,214798,1026729,969,20.7,22398,11116,418,153,1743,1375,5838,1979,6704,613,57353,275819,68152,21826,23100
R09000,栃木県,1921000,1880000,223000,1130000,569000,37408,11808,1.39,21702,30533,31249,795449,1891685,261757,7396,3037,640809,300506,133443,9374826,6770351,3479,86088,9600,8894,485,21883,10708,8132,6072,878756,58574,208355,7367,164790,76323,42308,99282,31993,14209,121700,1412,36359,78,9952,351,95315,163,51170,75,49674,6,9,1559,20496,188,55,26,31,951,638,8,4949,5672830,17870,926700,160700,526100,545000,106.54,1958726,104105,661148,925,15.9,16541,8797,273,87,1458,962,4773,1387,4350,436,40394,281101,74561,17590,24143
R10000,群馬県,1927000,1866000,221000,1117000,589000,53432,11660,1.40,23286,26973,27947,803215,1884909,260100,7044,2857,636228,226902,88868,8989798,6408622,3283,90231,10205,10812,547,21846,10444,8147,6718,900921,58817,227992,8636,167404,73256,37599,113141,19405,22870,65900,1171,29904,122,8540,306,94185,166,50841,77,48521,7,15,1597,28772,222,57,20,42,1225,289,7,4627,4286760,12320,949000,158300,561700,581400,107.14,1960215,88292,708460,990,14.3,16458,8585,264,115,1560,979,4735,1421,4130,460,46241,286646,75461,19806,27055
