年月,気温,アイスクリーム支出金額
2005年4月,15.1,541
2005年5月,17.7,666
2005年6月,23.2,801
2005年7月,25.6,1033
2005年8月,28.1,1175
2005年9月,24.7,737
2005年10月,19.2,456
2005年11月,13.3,317
2005年12月,6.4,361
2006年1月,5.1,322
2006年2月,6.7,279
2006年3月,9.8,373
2006年4月,13.6,458
2006年5月,19,602
2006年6月,22.5,748
2006年7月,25.6,973
2006年8月,27.5,1193
2006年9月,23.5,654
2006年10月,19.5,493
2006年11月,14.4,336
2006年12月,9.5,392
2007年1月,7.6,347
2007年2月,8.6,292
2007年3月,10.8,387
2007年4月,13.7,466
2007年5月,19.8,652
2007年6月,23.2,768
2007年7月,24.4,908
2007年8月,29,1279
2007年9月,25.2,784
2007年10月,19,469
2007年11月,13.3,324
2007年12月,9,405
2008年1月,5.9,346
2008年2月,5.5,288
2008年3月,10.7,404
2008年4月,14.7,501
2008年5月,18.5,689
2008年6月,21.3,727
2008年7月,27,1182
2008年8月,26.8,1190
2008年9月,24.4,691
2008年10月,19.4,477
2008年11月,13.1,355
2008年12月,9.8,414
2009年1月,6.8,351
2009年2月,7.8,303
2009年3月,10,386
2009年4月,15.7,569
2009年5月,20.1,768
2009年6月,22.5,819
2009年7月,26.3,1072
2009年8月,26.6,1215
2009年9月,23,723
2009年10月,19,495
2009年11月,13.5,402
2009年12月,9,440
2010年1月,7,362
2010年2月,6.5,305
2010年3月,9.1,383
