"pref","year","suicide","unemp"
"北海道",1997,19.6,3.7
"青森",1997,26.5,3.9
"岩手",1997,25.8,2.4
"宮城",1997,18.6,3.1
"秋田",1997,30.7,3.2
"山形",1997,22.3,2.1
"福島",1997,17.1,2.6
"茨城",1997,18,2.7
"栃木",1997,19.8,2.5
"群馬",1997,20.4,2.8
"埼玉",1997,16.8,4
"千葉",1997,15.9,3.4
"東京",1997,17.3,4.1
"神奈川",1997,15.7,3.7
"新潟",1997,26.9,2.6
"富山",1997,23.9,2.2
"石川",1997,16.1,2.5
"福井",1997,18,1.9
"山梨",1997,21.2,2.3
"長野",1997,20.7,2.1
"岐阜",1997,19,2.1
"静岡",1997,15.1,2.7
"愛知",1997,15.5,2.9
"三重",1997,14.9,2.4
"滋賀",1997,17.9,2.4
"京都",1997,17.5,4.1
"大阪",1997,18.3,4.7
"兵庫",1997,17.1,3.7
"奈良",1997,14.8,3
"和歌山",1997,23.6,2.2
"鳥取",1997,21.7,2.1
"島根",1997,26.9,1.7
"岡山",1997,18.6,2.7
"広島",1997,17.1,2.9
"山口",1997,21.7,2.8
"徳島",1997,17,3.3
"香川",1997,15.2,2.8
"愛媛",1997,20.1,3.1
"高知",1997,22.9,4
"福岡",1997,19.9,4.4
"佐賀",1997,20.5,2.5
"長崎",1997,18.5,3.3
"熊本",1997,18.1,3.6
"大分",1997,17.9,2.5
"宮崎",1997,26.3,3.7
"鹿児島",1997,23,2.9
"沖縄",1997,18.8,6
"北海道",1998,26.7,4.8
"青森",1998,33.3,4.8
"岩手",1998,35.4,3
"宮城",1998,23,4.1
"秋田",1998,37.5,3.6
"山形",1998,28.7,2.5
"福島",1998,25.8,3.4
"茨城",1998,21.9,3.2
"栃木",1998,25.4,3
"群馬",1998,25.2,2.9
"埼玉",1998,22.7,4.7
"千葉",1998,21,4.1
"東京",1998,23.5,4.9
"神奈川",1998,23,4.5
"新潟",1998,34.5,3.1
"富山",1998,30.5,2.8
"石川",1998,23.8,3.2
"福井",1998,23.8,2.5
"山梨",1998,24,2.6
"長野",1998,24.6,2.9
"岐阜",1998,24.5,2.6
"静岡",1998,21.3,3.1
"愛知",1998,21.1,3.6
"三重",1998,24.6,2.8
"滋賀",1998,20.5,3.4
"京都",1998,24.1,4.6
"大阪",1998,26.8,5.5
"兵庫",1998,25.6,4.7
"奈良",1998,23,3.8
"和歌山",1998,27.5,2.6
