国名,平均寿命,一人当たりのGDP,GDPに占める医療費の割合
Afghanistan,42.88,2.94,5.2
Albania,76.209,3.73,6.5
Algeria,71.699,3.78,3.5
Angola,45.523,3.55,1.8
Argentina,74.773,4.04,10.2
Armenia,73.129,3.59,5.4
Australia,81.44,4.52,8.8
Austria,79.64,4.53,10.2
Azerbaijan,69.391,3.67,3.9
Bahrain,75.234,4.44,3.8
Bangladesh,64.582,3.1,2.8
Barbados,76.531,4.2,6.8
Belarus,68.84,3.93,6.6
Belgium,79.21,4.51,9.6
Belize,75.437,3.86,4.9
Benin,60.172,3.14,5.4
Bhutan,64.815,3.57,4
Bolivia,64.69,3.56,7.1
Bosnia and Herzegovina,74.821,3.81,8.8
Botswana,50.921,4.08,8.3
Brazil,71.669,3.93,7.9
Brunei,76.741,4.68,2
Bulgaria,72.53,3.97,7.7
Burkina Faso,52.088,3.06,6.7
Burundi,49.149,2.62,3.4
Cambodia,59.436,3.16,6.4
Cameroon,50.621,3.3,5.2
Canada,80.36,4.55,9.8
Cape Verde,70.52,3.45,5.6
Chad,48.476,3.24,3.7
Chile,77.93,4.09,5.4
China,72.555,3.69,4.7
Colombia,72.25,3.8,7.3
Comoros,64.08,3.03,3
"Congo, Dem. Rep.",47.629,2.52,4.2
"Congo, Rep.",53.28,3.56,1.9
Costa Rica,78.481,3.94,7.1
Cote d'Ivoire,55.939,3.2,3.9
Croatia,75.53,4.12,7.4
Cuba,77.928,3.87,7.6
Cyprus,79.401,4.39,6.1
Denmark,78.32,4.53,9.4
Djibouti,54.456,3.29,6.9
Ecuador,74.674,3.82,5.3
El Salvador,70.735,3.73,7
Equatorial Guinea,49.29,4.08,1.7
Eritrea,58.37,2.84,4.7
Estonia,72.96,4.22,5
Ethiopia,53.762,2.77,4.9
Fiji,68.31,3.62,4.1
Finland,79.09,4.48,7.5
France,80.47,4.47,11.2
Gabon,59.461,4.11,4.1
Georgia,71.55,3.54,8.6
Germany,79.48,4.48,10.7
Ghana,56.539,3.09,6.2
Greece,78.666,4.41,10.1
Grenada,74.894,3.96,7.2
Guatemala,69.641,3.69,5.2
Guinea,56.208,2.98,5.6
Guinea-Bissau,46.949,2.76,6.2
Guyana,65.467,3.51,5.4
Haiti,60.414,3.07,6.2
Honduras,71.515,3.51,7.5
Hungary,72.99,4.23,7.8
