ff,invst
4.75,13.09047
3.55,7.95628
4.3,10.94047
4.74,11.16703
5.15,14.95984
6.54,14.17362
7.82,12.64208
10.56,7.03783
10,10.1597
9.32,-1.88141
11.25,-6.2684
12.09,-7.78265
9.35,-10.41394
6.3,-20.29252
5.42,-22.35565
6.16,-11.76295
5.41,-9.84729
4.83,17.83164
5.2,26.25401
5.28,17.57854
4.87,15.24159
4.66,9.96988
5.16,13.36683
5.82,18.68998
6.51,14.85331
6.76,11.90714
7.28,11.20332
8.1,8.93098
9.58,14.31777
10.07,12.31866
10.18,5.37338
10.95,0.66594
13.58,-3.35474
15.05,-4.17492
12.69,-12.24375
9.84,-16.63178
15.85,-7.21564
16.57,2.07025
17.78,6.93216
17.58,20.9414
13.59,6.7344
14.23,-11.54845
14.51,-7.7942
11.01,-13.51371
9.29,-17.28626
8.65,-5.47978
8.8,2.96932
9.46,10.42785
9.43,31.32167
9.69,39.19067
10.56,32.02498
11.39,26.93489
9.27,14.18056
8.48,1.26339
7.92,-0.25554
7.9,-3.03386
8.1,1.8613
7.83,4.70218
6.92,1.1514
6.21,-0.8939
6.27,-4.13076
6.22,-1.5147
6.65,0.28744
6.84,3.07474
6.92,9.76945
6.66,1.75394
7.16,4.12413
7.98,4.68731
8.47,-0.49516
9.44,8.07012
9.73,4.53408
9.08,3.02322
8.61,0.72195
8.25,-1.61708
8.24,-0.62511
8.16,-1.66873
7.74,-6.47575
6.43,-10.47673
5.86,-10.50496
5.64,-6.92876
4.82,2.0821
4.02,3.64498
3.77,9.50686
3.26,8.23432
3.04,7.7171
3.04,12.33174
3,6.93077
3.06,5.367
2.99,7.62011
3.21,9.14616
3.94,13.85898
4.49,12.76483
5.17,11.54281
5.81,8.57831
6.02,1.33921
5.8,2.40816
5.72,0.80449
5.36,1.35929
5.24,8.48266
5.31,14.09004
5.28,11.17733
5.28,11.62795
5.52,13.04722
5.53,9.63854
5.51,11.3961
5.52,13.98323
5.5,6.72705
5.53,7.99856
4.86,9.67029
4.73,7.95605
4.75,8.68362
5.09,8.84766
5.31,8.45505
5.68,4.79932
6.27,10.95117
6.52,6.93289
6.47,4.37274
5.59,0.32945
4.33,-5.13347
3.5,-6.28315
2.13,-11.12588
1.73,-4.10764
1.75,-2.69667
1.74,-0.66739
1.44,4.42475
1.25,2.22778
1.25,1.24201
1.02,5.03728
1,8.7273
1,8.02931
1.01,11.60111
1.43,9.4141
1.95,8.00532
2.47,10.85291
2.94,5.22493
3.46,4.94317
3.98,6.08021
4.46,4.69324
4.91,5.46384
5.25,3.70094
5.25,-1.36917
5.26,-3.42132
5.25,-1.92724
5.07,-2.68364
4.5,-1.97677
3.18,-4.03705
2.09,-6.54968
1.94,-7.3455
