price,unrate,ff
4.76608,5.9,4.75
4.7715,5.8,3.55
4.05642,5.7,4.3
3.99213,5.6,4.74
4.44703,5.4,5.15
4.06445,4.9,6.54
5.01274,4.9,7.82
6.04217,4.8,10.56
6.79361,4.8,10
7.56949,5.1,9.32
8.44235,5.2,11.25
9.49225,5.6,12.09
10.51075,6.6,9.35
10.92939,8.3,6.3
9.97803,8.9,5.42
8.73142,8.5,6.16
7.39247,8.3,5.41
6.115,7.7,4.83
5.61508,7.6,5.2
5.12509,7.7,5.28
5.24782,7.8,4.87
5.82167,7.5,4.66
6.24506,7.1,5.16
6.16534,6.9,5.82
6.55038,6.7,6.51
6.38766,6.3,6.76
6.91374,6,7.28
7.42221,6,8.1
7.29959,5.9,9.58
7.69183,5.9,10.07
8.25891,5.7,10.18
8.77888,5.9,10.95
8.57668,6,13.58
8.87291,6.3,15.05
8.79779,7.3,12.69
8.8476,7.7,9.84
9.6483,7.4,15.85
10.22078,7.4,16.57
9.79309,7.4,17.78
9.4157,7.4,17.58
8.48076,8.2,13.59
7.15053,8.8,14.23
6.43334,9.4,14.51
5.94913,9.9,11.01
5.22916,10.7,9.29
4.58556,10.4,8.65
4.00985,10.1,8.8
3.64579,9.4,9.46
3.35938,8.5,9.43
3.62393,7.9,9.69
3.74107,7.4,10.56
3.56149,7.4,11.39
3.55133,7.3,9.27
3.52598,7.2,8.48
3.30853,7.3,7.92
3.01671,7.2,7.9
2.82385,7,8.1
2.32355,7,7.83
2.05415,7.2,6.92
1.85745,7,6.21
1.84322,6.8,6.27
1.98742,6.6,6.22
2.3067,6.3,6.65
2.66122,6,6.84
2.91876,5.8,6.92
3.06577,5.7,6.66
3.35274,5.5,7.16
3.80207,5.5,7.98
3.87063,5.3,8.47
4.13782,5.2,9.44
4.23326,5.2,9.73
3.75316,5.2,9.08
3.59741,5.4,8.61
3.63475,5.3,8.25
3.69116,5.3,8.24
3.82117,5.7,8.16
3.85467,6.1,7.74
3.75192,6.6,6.43
3.35505,6.8,5.86
3.2796,6.9,5.64
3.1238,7.1,4.82
2.50317,7.4,4.02
2.36871,7.6,3.77
2.07095,7.6,3.26
2.16693,7.4,3.04
2.36,7.1,3.04
2.35388,7.1,3
2.46018,6.8,3.06
2.31536,6.6,2.99
2.23172,6.6,3.21
2.11696,6.2,3.94
2.0967,6,4.49
2.09305,5.6,5.17
2.15841,5.5,5.81
2.15569,5.7,6.02
2.07341,5.7,5.8
2.01232,5.6,5.72
1.94878,5.5,5.36
1.88255,5.5,5.24
1.71535,5.3,5.31
1.76794,5.3,5.28
1.88643,5.2,5.28
1.66696,5,5.52
1.77726,4.9,5.53
1.574,4.7,5.51
1.11409,4.6,5.52
1.15237,4.4,5.5
1.13872,4.5,5.53
1.0876,4.4,4.86
1.27232,4.3,4.73
1.41511,4.3,4.75
1.3451,4.2,5.09
1.62094,4.1,5.31
1.96514,4,5.68
2.21427,3.9,6.27
2.44944,4,6.52
2.43313,3.9,6.47
2.42955,4.2,5.59
2.40761,4.4,4.33
2.21266,4.8,3.5
1.98399,5.5,2.13
1.6323,5.7,1.73
1.37748,5.8,1.75
1.46463,5.7,1.74
1.73414,5.9,1.44
1.91131,5.9,1.25
1.91396,6.1,1.25
2.00793,6.1,1.02
2.03709,5.8,1
2.26521,5.7,1
2.72905,5.6,1.01
2.79257,5.4,1.43
2.96243,5.4,1.95
3.05015,5.3,2.47
2.96103,5.1,2.94
3.24492,5,3.46
3.29251,5,3.98
3.19938,4.7,4.46
3.35642,4.6,4.91
3.13805,4.6,5.25
2.66316,4.4,5.25
2.91019,4.5,5.26
2.72883,4.5,5.25
2.57376,4.7,5.07
2.62239,4.8,4.5
2.03211,5,3.18
1.81848,5.3,2.09
2.02788,6,1.94
