price,unrate,ff,commd_price
4.76608,5.9,4.75,3.56
4.7715,5.8,3.55,3.56
4.05642,5.7,4.3,3.56
3.99213,5.6,4.74,3.56
4.44703,5.4,5.15,3.56
4.06445,4.9,6.54,3.56
5.01274,4.9,7.82,3.56
6.04217,4.8,10.56,4.06
6.79361,4.8,10,4.31
7.56949,5.1,9.32,10.11
8.44235,5.2,11.25,10.11
9.49225,5.6,12.09,10.11
10.51075,6.6,9.35,11.16
10.92939,8.3,6.3,11.16
9.97803,8.9,5.42,11.16
8.73142,8.5,6.16,11.16
7.39247,8.3,5.41,11.16
6.115,7.7,4.83,11.763
5.61508,7.6,5.2,12.17
5.12509,7.7,5.28,12.747
5.24782,7.8,4.87,13.9
5.82167,7.5,4.66,13.9
6.24506,7.1,5.16,13.9
6.16534,6.9,5.82,14.533
6.55038,6.7,6.51,14.85
6.38766,6.3,6.76,14.85
6.91374,6,7.28,14.85
7.42221,6,8.1,14.85
7.29959,5.9,9.58,14.85
7.69183,5.9,10.07,15.517
8.25891,5.7,10.18,17.683
8.77888,5.9,10.95,25.583
8.57668,6,13.58,30.833
8.87291,6.3,15.05,35.833
8.79779,7.3,12.69,39.5
8.8476,7.7,9.84,37.833
9.6483,7.4,15.85,36.333
10.22078,7.4,16.57,38
9.79309,7.4,17.78,37.333
9.4157,7.4,17.58,36
8.48076,8.2,13.59,35.333
7.15053,8.8,14.23,31.297
6.43334,9.4,14.51,34.817
5.94913,9.9,11.01,34.58
5.22916,10.7,9.29,33.85
4.58556,10.4,8.65,29.653
4.00985,10.1,8.8,30.537
3.64579,9.4,9.46,31.56
3.35938,8.5,9.43,29.83
3.62393,7.9,9.69,30.199
3.74107,7.4,10.56,30.368
3.56149,7.4,11.39,29.104
3.55133,7.3,9.27,27.431
3.52598,7.2,8.48,27.05
3.30853,7.3,7.92,27.857
3.01671,7.2,7.9,27.791
2.82385,7,8.1,29.193
2.32355,7,7.83,17.002
2.05415,7.2,6.92,13.92
1.85745,7,6.21,13.86
1.84322,6.8,6.27,15.378
1.98742,6.6,6.22,18.229
2.3067,6.3,6.65,19.364
2.66122,6,6.84,20.385
2.91876,5.8,6.92,18.67
3.06577,5.7,6.66,16.714
3.35274,5.5,7.16,17.281
3.80207,5.5,7.98,15.163
3.87063,5.3,8.47,14.68
4.13782,5.2,9.44,18.418
4.23326,5.2,9.73,20.359
3.75316,5.2,9.08,19.253
3.59741,5.4,8.61,20.333
3.63475,5.3,8.25,21.722
3.69116,5.3,8.24,17.897
3.82117,5.7,8.16,26.5
3.85467,6.1,7.74,31.853
3.75192,6.6,6.43,21.781
3.35505,6.8,5.86,20.753
3.2796,6.9,5.64,21.655
3.1238,7.1,4.82,21.737
2.50317,7.4,4.02,18.91
2.36871,7.6,3.77,21.186
2.07095,7.6,3.26,21.67
2.16693,7.4,3.04,20.479
2.36,7.1,3.04,19.825
2.35388,7.1,3,19.76
2.46018,6.8,3.06,17.796
2.31536,6.6,2.99,16.451
2.23172,6.6,3.21,14.813
2.11696,6.2,3.94,17.777
2.0967,6,4.49,18.497
2.09305,5.6,5.17,17.657
2.15841,5.5,5.81,18.357
2.15569,5.7,6.02,19.343
2.07341,5.7,5.8,17.853
2.01232,5.6,5.72,18.157
1.94878,5.5,5.36,19.77
1.88255,5.5,5.24,21.757
1.71535,5.3,5.31,22.423
1.76794,5.3,5.28,24.667
1.88643,5.2,5.28,22.79
1.66696,5,5.52,19.907
1.77726,4.9,5.53,19.783
1.574,4.7,5.51,19.917
1.11409,4.6,5.52,15.93
1.15237,4.4,5.5,14.653
1.13872,4.5,5.53,14.13
1.0876,4.4,4.86,12.84
1.27232,4.3,4.73,13.047
1.41511,4.3,4.75,17.66
1.3451,4.2,5.09,21.737
1.62094,4.1,5.31,24.563
1.96514,4,5.68,28.807
2.21427,3.9,6.27,28.783
2.44944,4,6.52,31.623
2.43313,3.9,6.47,31.98
2.42955,4.2,5.59,28.81
2.40761,4.4,4.33,27.883
2.21266,4.8,3.5,26.6
1.98399,5.5,2.13,20.403
1.6323,5.7,1.73,21.61
1.37748,5.8,1.75,26.27
1.46463,5.7,1.74,28.33
1.73414,5.9,1.44,28.18
1.91131,5.9,1.25,34.12
1.91396,6.1,1.25,29.037
2.00793,6.1,1.02,30.213
2.03709,5.8,1,31.19
2.26521,5.7,1,35.257
2.72905,5.6,1.01,38.33
2.79257,5.4,1.43,43.86
2.96243,5.4,1.95,48.307
3.05015,5.3,2.47,49.707
2.96103,5.1,2.94,53.043
3.24492,5,3.46,63.08
3.29251,5,3.98,60.033
3.19938,4.7,4.46,63.347
3.35642,4.6,4.91,70.53
3.13805,4.6,5.25,70.443
2.66316,4.4,5.25,60.093
2.91019,4.5,5.26,58.13
2.72883,4.5,5.25,64.97
2.57376,4.7,5.07,75.5
2.62239,4.8,4.5,90.85
2.03211,5,3.18,97.953
1.81848,5.3,2.09,123.963
2.02788,6,1.94,117.983
